source,date,title,drug_tags,content_tags,cancer_tags,blog_url,blog_views,blog_likes,blog_comments,cafe_url,cafe_comments,cafe_views,match_confidence,total_comments,persona_myungsoon,persona_suksuja,persona_yeonok
blog,2024. 6. 19.,"살베스테롤 Salvestrol : 피토알렉신(phytoalexin), 레스베라트롤, 커큐민, 녹차. 그리고 CYP1B1",살베스트롤|커큐민|EGCG,,,https://blog.naver.com/grsanga/223484284572,815,8.0,15,,0,0,,15,1,7,1.0
blog+cafe,2024. 6. 19.,"10-1장. 미생물 관련성, 발암의 일관성, 면역 억제, 염증, 젖산, 철분 : Mark Lintern [책] 암 해결 방법?",,책요약|장내미생물|면역,,https://blog.naver.com/grsanga/223484248107,132,13.0,2,https://cafe.naver.com/friendsofhippocrates/18605,10,146,중신뢰,12,-2,4,6.0
blog+cafe,2024. 6. 14.,20장. 잠재적 항암 치료법 추가 세부 사항 : Mark Lintern [책] 암 해결 방법?,,책요약,,https://blog.naver.com/grsanga/223479213997,122,12.0,2,https://cafe.naver.com/friendsofhippocrates/18594,5,106,고신뢰,7,-1,3,4.0
blog,2024. 6. 13.,"19-1장. 잠재적 항암 치료법, 표준 치료의 단점, 자가치료시 점검사항 :  Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223478167065,70,7.0,0,,0,0,,0,-1,2,3.0
blog,2024. 6. 12.,곰팡이 마이코바이옴: 범암 분석을 통해 밝혀진 암의 새로운 특징,,장내미생물,,https://blog.naver.com/grsanga/223476787047,60,6.0,0,,0,0,,0,-1,2,2.0
blog,2024. 6. 11.,범암 마이코바이옴 분석으로 위암 및 폐 종양에 곰팡이 관련이 있음이 밝혀졌습니다.,,장내미생물,위암,https://blog.naver.com/grsanga/223475838671,93,9.0,3,,0,0,,3,-1,2,2.0
blog,2024. 6. 10.,"19-3장. 잠재적 항암 치료법, 35가지 주요 고려 사항 :  Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223474373130,1714,17.0,14,,0,0,,14,2,7,5.0
blog,2024. 6. 9.,빔 호프 호흡법,,,,https://blog.naver.com/grsanga/223473707354,80,8.0,0,,0,0,,0,0,2,1.0
blog,2024. 6. 7.,칸디다 다이어트. 장내 미생물을 개선하고 곰팡이 감염을 퇴치하는  식단,,장내미생물|식이요법,,https://blog.naver.com/grsanga/223472160993,116,11.0,6,,0,0,,6,-1,3,3.0
blog+cafe,2024. 6. 4.,"19-2장. 잠재적 항암 치료법, 7단계 실행 계획 : Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223468758255,168,16.0,8,https://cafe.naver.com/friendsofhippocrates/18557,14,235,고신뢰,22,-1,5,5.0
blog,2024. 6. 3.,범암(모든 암) 분석을 통해 암 유형별 곰팡이 생태 및 박테리아 상호 작용이 밝혀졌습니다.,,장내미생물,,https://blog.naver.com/grsanga/223467165442,132,13.0,2,,0,0,,2,-1,2,3.0
blog,2024. 5. 30.,"암의 원인? 해결법? 전반적인 개요, 설명, 시작하면서... : Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223463456732,112,11.0,2,,0,0,,2,-1,2,4.0
blog+cafe,2024. 5. 25.,곰팡이와 종양 : 종양 형성에서 곰팡이의 역할,,장내미생물,,https://blog.naver.com/grsanga/223457866120,122,12.0,2,https://cafe.naver.com/friendsofhippocrates/18535,12,357,고신뢰,14,-1,4,3.0
blog,2024. 5. 23.,"[해외호전사례] 미국 Lacye 남편 (41세) SCLC 소세포폐암 4기, 2023년 8월 진단, 조티펜스 복용법으로 시작해서 고용량 복용법으로",펜벤다졸,해외호전사례|프로토콜|조티펜스,폐암,https://blog.naver.com/grsanga/223456181613,110,11.0,0,,0,0,,0,5,6,1.0
blog,2024. 5. 22.,"[해외호전사례] 미국 Courtney의 아빠, 62세 남성, 비소세포 폐암 3기- 딸 결혼식 참석 - 고용량 펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,폐암,https://blog.naver.com/grsanga/223454863917,103,10.0,3,,0,0,,3,5,6,1.0
blog,2024. 5. 20.,"[해외호전사례] 영국 Kath 남편 전립선암 4기 대사 치료, 린다 싱클레어 홈페이지와 페이스북 그룹 소개",,해외호전사례,전립선암,https://blog.naver.com/grsanga/223452456559,70,7.0,0,,0,0,,0,3,4,0.0
blog,2024. 5. 18.,"[해외호전사례] 미국 64세 여성 대장암 4기, 난소/자궁/소장 전이, 고용량 펜벤다졸 복용법, 좌약 사용이 핵심",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,대장암,https://blog.naver.com/grsanga/223450491999,100,10.0,0,,0,0,,0,5,6,1.0
blog,2024. 5. 17.,"항암을 위한 빠른 시작 복용법[Quick Start Protocol], 펜벤다졸 암 지원 그룹에서 작성됨",펜벤다졸,프로토콜,,https://blog.naver.com/grsanga/223449503704,1613,16.0,13,,0,0,,13,5,9,3.0
blog,2024. 5. 17.,"[해외호전사례] 미국 Brenda, 삼중음성 유방암 2B->3B, 저용량 항암, 냉동 절제술 Yes, 방사선, 화학 요법 No - 고용량 펜벤다졸 요법",펜벤다졸,해외호전사례|고용량펜벤다졸,유방암,https://blog.naver.com/grsanga/223449409635,94,9.0,4,,0,0,,4,3,4,0.0
blog,2024. 5. 14.,"[해외호전사례] 미국, 유방암 4기, 뼈전이, 이버멕틴도 사용, 고용량 펜벤다졸 복용법 - 누구나 할만한 고민들까지",펜벤다졸|이버멕틴,해외호전사례|프로토콜|고용량펜벤다졸,유방암,https://blog.naver.com/grsanga/223446544910,160,16.0,0,,0,0,,0,5,6,2.0
blog,2024. 5. 13.,"[해외호전사례] 캐나다 Karen 자궁경부암 (2020 stage 3C1), 재발 전이 2021 - stage 4B incurable - 고용량펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,자궁암,https://blog.naver.com/grsanga/223445355542,50,5.0,0,,0,0,,0,5,6,0.0
blog,2024. 5. 13.,"[해외호전사례] 미국 Lisa 여성, 대장암 4기 KRAS+ 돌연변이 (2020, 12월 진단) - 고용량 펜벤다졸 복용법 +",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,대장암,https://blog.naver.com/grsanga/223445286037,100,10.0,0,,0,0,,0,5,6,1.0
blog,2024. 5. 8.,"Fusobacterium nucleatum : 대장암, 유방암, 다양한 감염성 및 전신성 질환에서 중요한 역할",,,유방암|대장암,https://blog.naver.com/grsanga/223439996181,73,7.0,3,,0,0,,3,0,2,1.0
blog+cafe,2024. 5. 6.,"적인가, 친구인가? 대장암의 종양 미세환경에 풍부한 박테리아",,장내미생물,대장암,https://blog.naver.com/grsanga/223437709350,82,8.0,2,https://cafe.naver.com/friendsofhippocrates/18424,2,126,고신뢰,4,-1,2,2.0
blog+cafe,2024. 4. 30.,[책 요약] 이버멕틴의 화학적 및 생물학적 활성 : 잠재적 항암제로서의 용도 변경,이버멕틴,책요약,,https://blog.naver.com/grsanga/223431974614,224,22.0,4,https://cafe.naver.com/friendsofhippocrates/11604,10,133,저신뢰,14,-1,4,5.0
blog,2024. 4. 26.,[책 요약] 이버멕틴의 화학적 및 생물학적 활성 : 항기생충제로서의 이버멕틴,이버멕틴,책요약,,https://blog.naver.com/grsanga/223428210896,148,14.0,8,,0,0,,8,-1,3,4.0
blog,2024. 4. 24.,"대장 선종과 대장암, 만성 염증과 활성 산소종(ROS), 장내 미생물 불균형",,장내미생물,대장암,https://blog.naver.com/grsanga/223425970496,60,6.0,0,,0,0,,0,-1,2,2.0
blog,2024. 4. 23.,Fusobacterium nucleatum : 유방암에 세균이!  유방암의 새로운 면역 조절제?,,면역,유방암,https://blog.naver.com/grsanga/223424806515,70,7.0,0,,0,0,,0,0,2,2.0
blog,2024. 4. 22.,"대장 폴립 관리를 위한 증거 기반 임상 진료 가이드 라인, 개정판 내용 일부",,,대장암,https://blog.naver.com/grsanga/223423136718,71,7.0,1,,0,0,,1,0,2,1.0
blog,2024. 4. 19.,"혈청 지질과 대장 용종 형성의 관계 : 저밀도 지단백 콜레스테롤, 총콜레스테롤, 중성지방",,,,https://blog.naver.com/grsanga/223420260926,50,5.0,0,,0,0,,0,0,2,1.0
blog,2024. 4. 17.,Subdoligranulum variabil 와 Akkermansia muciniphila 의 관계,,,,https://blog.naver.com/grsanga/223418431620,66,6.0,6,,0,0,,6,0,3,1.0
blog,2024. 4. 16.,"글리코우르소데옥시콜산(Glycoursodeoxycholic acid) : 담즙산과 GUDCA, TGR5",DCA|TUDCA,,,https://blog.naver.com/grsanga/223417457299,103,10.0,3,,0,0,,3,0,2,2.0
blog,2024. 4. 15.,"메트포르민, 인지 기능 및 장내 미생물 군집의 변화",메트포르민,장내미생물,,https://blog.naver.com/grsanga/223415951487,93,9.0,3,,0,0,,3,-1,2,2.0
blog,2024. 4. 12.,"Fusobacterium nucleatum과 종양, 진단과 표적 치료, 환자 예후 관련 중요성",,,,https://blog.naver.com/grsanga/223413326878,86,8.0,6,,0,0,,6,0,3,1.0
blog,2024. 4. 11.,"[국내 호전 사례] 유방암 1기->4기->3기...쇄골, 림프 전이, 폐전이 의심. 현재까지 계속 구충요법 중. 3온 4오프",,국내호전사례,유방암,https://blog.naver.com/grsanga/223412612918,2215,22.0,15,,0,0,,15,6,10,2.0
blog,2024. 4. 10.,"메트포르민, 스타틴, GLP-1 작용제와 장내미생물 군집과의 관계",메트포르민|스타틴,장내미생물,,https://blog.naver.com/grsanga/223411386746,70,7.0,0,,0,0,,0,-1,2,2.0
blog,2024. 4. 8.,"[해외호전사례] 익명, 유방암 4기, 뼈전이, 이버멕틴도 사용. Ailish 여성, 삼중 음성 유방암 4기",이버멕틴,해외호전사례,유방암,https://blog.naver.com/grsanga/223409421288,80,8.0,0,,0,0,,0,3,4,0.0
blog,2024. 4. 6.,"[해외호전사례] 미국 karen의 남편, 원발성 중추신경계(CNS) 림프종 비호지킨 - 뇌암 : 더 이상 뇌암 없음. 의사는 충격을 받았다고 인정",,해외호전사례,뇌종양|혈액암,https://blog.naver.com/grsanga/223407389253,90,9.0,0,,0,0,,0,3,4,0.0
blog,2024. 4. 5.,"[해외호전사례] 미국 Lisa 남편 폐암 3A기, 미국 nicole의 남편 35세, 폐 선암 4기",,해외호전사례,폐암,https://blog.naver.com/grsanga/223406516454,82,8.0,2,,0,0,,2,3,4,0.0
blog+cafe,2024. 4. 4.,대장암을 일으키는 특정 장내 세균의 메커니즘과 치료법,,장내미생물,대장암,https://blog.naver.com/grsanga/223405704345,62,6.0,2,https://cafe.naver.com/friendsofhippocrates/18308,23,228,고신뢰,25,-1,5,2.0
blog+cafe,2024. 4. 3.,대장암 발생 및 발달에 영향을 미치는 세 가지 특정 장내 세균과 대장암 치료에서 F. nucleatum 퇴치를 위한 새로운 전략,,장내미생물,대장암,https://blog.naver.com/grsanga/223404366222,84,8.0,4,https://cafe.naver.com/friendsofhippocrates/18305,24,143,고신뢰,28,-1,5,2.0
blog+cafe,2024. 4. 1.,"항암제로서의 시메티딘 : 용도 변경 약물(ReDO), 핵심만 별도 요약",시메티딘,,,https://blog.naver.com/grsanga/223401806118,94,9.0,4,https://cafe.naver.com/friendsofhippocrates/18297,3,136,고신뢰,7,0,3,1.0
blog,2024. 3. 28.,"[해외호전사례] 미국 Patsy 여성 직장암 4기 (2020) 폐와 간전이 - 수술후, 항암(화학)에 펜벤다졸의 효과로 3년만에 NED - 고용량 펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,대장암|간암,https://blog.naver.com/grsanga/223398328761,70,7.0,0,,0,0,,0,5,6,0.0
blog,2024. 3. 28.,"[해외호전사례] 미국 brian 54세 남자 직장암 4기, 간전이, 수술, 항암 했슴 - 최신 조티펜스 복용법",펜벤다졸,해외호전사례|프로토콜|조티펜스,대장암|간암,https://blog.naver.com/grsanga/223398213731,70,7.0,0,,0,0,,0,5,6,0.0
blog,2024. 3. 22.,"전이성 대장암에 대한 미생물 군집의 영향 : 대장암 간 전이, 복막 전이, Fusobacterium. nucleatum",,장내미생물,대장암,https://blog.naver.com/grsanga/223392010877,72,7.0,2,,0,0,,2,-1,2,2.0
blog,2024. 3. 18.,"브로멜라인의 항암 효과와 항염증, 항균 등 여러 약리학적인 치료 효능들",,,,https://blog.naver.com/grsanga/223387355881,132,13.0,2,,0,0,,2,0,2,2.0
blog,2024. 3. 13.,대장암과 관련된 항생제 : 근위결장암 위험을 높인다,,,대장암,https://blog.naver.com/grsanga/223382095260,50,5.0,0,,0,0,,0,0,2,1.0
blog,2024. 3. 12.,대장 폴립이 어떻게 암으로 변하는가! 장내미생물의 중요성. 항생제와 대장암,,장내미생물,대장암,https://blog.naver.com/grsanga/223381220040,114,11.0,4,,0,0,,4,-1,2,3.0
blog,2024. 3. 1.,"[해외호전사례] 미국 Kate 엄마 63세, 4등급 교모세포종, 종양 제거후 항암/방사선 거부 - 제인 대사치료법",,해외호전사례|제인프로토콜,뇌종양,https://blog.naver.com/grsanga/223369850950,115,11.0,5,,0,0,,5,5,7,1.0
blog,2024. 2. 28.,"[해외호전사례] 미국 81세 Virginia 여성, 재발, 자궁 내막 자궁암 4기, 전이됨, 5개월만에 호전됨 - 고용량 펜벤다졸 복용",펜벤다졸,해외호전사례|고용량펜벤다졸,자궁암,https://blog.naver.com/grsanga/223367526603,91,9.0,1,,0,0,,1,3,4,0.0
blog,2024. 2. 27.,"[해외호전사례] 독일 Dominique 고환암(Testis Cancer, Seminoma) 2018년 12월 진단, 3개월 여명, 4년이 지나 생존중 - 고용량 펜벤다졸",펜벤다졸,해외호전사례|고용량펜벤다졸,,https://blog.naver.com/grsanga/223366835505,60,6.0,0,,0,0,,0,3,4,0.0
blog,2024. 2. 26.,"[해외호전사례] 중국 Marco님, osteosarcoma 골육종 stage middle-late - 고용량 펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,,https://blog.naver.com/grsanga/223365381369,61,6.0,1,,0,0,,1,5,6,0.0
blog,2024. 2. 24.,"[Paul E. Marik] 암 치료 Cancer Care : 암 예방, 암 치료법, 악액질 관리, 간헐적 단식, Autophagy,",,폴마릭,,https://blog.naver.com/grsanga/223363591999,140,14.0,0,,0,0,,0,0,2,2.0
blog+cafe,2024. 2. 23.,[Paul E. Marik] 암 치료 Cancer Care : 먹어야 할 것과 먹지 말아야 할 것. 대사 및 생활 습관 중재,,폴마릭,,https://blog.naver.com/grsanga/223362711960,174,17.0,4,https://cafe.naver.com/friendsofhippocrates/18195,16,276,고신뢰,20,0,5,3.0
blog+cafe,2024. 2. 20.,"[Paul E. Marik] 암 치료 Cancer Care : 식이 칼로리 제한, 케톤 생성 식단 및 ""진짜"" 음식, 밴팅 다이어트",,식이요법|폴마릭,,https://blog.naver.com/grsanga/223359767742,132,13.0,2,https://cafe.naver.com/friendsofhippocrates/18181,18,141,고신뢰,20,0,5,2.0
blog+cafe,2024. 2. 15.,"[Paul E. Marik] 암 치료 Cancer Care : 암 신호 경로, 암 줄기세포, 기존 항암 치료의 문제점, 해결 방안",,폴마릭,,https://blog.naver.com/grsanga/223354582264,91,9.0,1,https://cafe.naver.com/friendsofhippocrates/18157,15,180,고신뢰,16,0,5,1.0
blog,2024. 2. 14.,"암에 대한 피세틴(fisetin)의 효과 및 기전, 세놀리틱 약물, 항노화",,노화항노화,,https://blog.naver.com/grsanga/223353438843,120,12.0,0,,0,0,,0,0,2,2.0
blog,2024. 2. 11.,"[해외호전사례] 미국 Peggi님 3C 유방암에서 NED 5개월째 -화학 요법, 수술, 방사선 치료를 거부- 수필 같은 게시글 - 조티펜스 복용법",펜벤다졸,해외호전사례|프로토콜|조티펜스,유방암,https://blog.naver.com/grsanga/223350538499,98,9.0,8,,0,0,,8,5,7,0.0
blog,2024. 2. 9.,"[해외호전사례] 미국 Brett 남성, 구인두-편도암(HPV 관련) Oropharyngeal cancer. 수술,방사선 No. 고용량 펜벤다졸",펜벤다졸,해외호전사례|고용량펜벤다졸,두경부암,https://blog.naver.com/grsanga/223349149271,90,9.0,0,,0,0,,0,3,4,0.0
blog,2024. 2. 8.,"[해외호전사례] 미국 Kelli, 유방암 4기 뼈전이, ER+ PR+ HER- , 고용량 펜벤다졸 + 제인 protocol",펜벤다졸,해외호전사례|고용량펜벤다졸,유방암,https://blog.naver.com/grsanga/223348139819,107,10.0,7,,0,0,,7,3,5,1.0
blog,2024. 2. 7.,"[해외호전사례] 미국 Janeane의 남편, 전립선암 4기= 간,뼈,폐,대장,림프 전이= 최신 조티펜스 복용법 + 이버멕틴 + 독시사이클린",펜벤다졸|이버멕틴|독시사이클린,해외호전사례|프로토콜|조티펜스,전립선암,https://blog.naver.com/grsanga/223346891212,80,8.0,0,,0,0,,0,5,6,0.0
blog,2024. 2. 7.,"[해외호전사례] 미국 Konnie 여성, 비소세포 폐암 NSCLC 4기 뼈전이, 수술불가 - 조티펜스 복용법, 3년째 접어듬",펜벤다졸,해외호전사례|프로토콜|조티펜스,폐암,https://blog.naver.com/grsanga/223346888947,60,6.0,0,,0,0,,0,5,6,0.0
blog,2024. 2. 7.,[해외호전사례] 미국 Rachel의 남편 50세 대장암 4기 - 고용량 펜벤다졸 용법 + 제인의 대사 치료 + Chris Beat Cancer + 표준치료들,펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,대장암,https://blog.naver.com/grsanga/223346760267,132,13.0,2,,0,0,,2,5,6,1.0
blog,2024. 2. 3.,"[해외호전사례] Kim** 네덜란드,60대 여성, 간/담낭암",,해외호전사례,담도암,https://blog.naver.com/grsanga/223342802595,141,14.0,1,,0,0,,1,3,4,1.0
blog,2024. 2. 2.,"[해외호전사례] 미국 Darcel님의 언니, 수술 불가능한 팬코스트 폐암 Pancoast cancer : 고용량 펜벤다졸 요법",펜벤다졸,해외호전사례|고용량펜벤다졸,폐암,https://blog.naver.com/grsanga/223341697954,80,8.0,0,,0,0,,0,3,4,0.0
blog,2024. 2. 1.,"[해외호전사례] 미국 Jake의 아내 Trish 40세, 대장암, PET 스캔 기다리다 좋아진 경우 : 추가 호전 사례와 펜벤다졸 제품들",펜벤다졸,해외호전사례,대장암,https://blog.naver.com/grsanga/223341005067,83,8.0,3,,0,0,,3,3,4,0.0
blog,2024. 1. 29.,"[해외호전사례] 미국 Heather님 남편, 췌장암 간 복막 전이: 항암+면역+임상시험 - 고용량 펜벤다졸 용법",펜벤다졸,해외호전사례|논문요약|프로토콜|면역|고용량펜벤다졸,췌장암,https://blog.naver.com/grsanga/223337248230,90,9.0,0,,0,0,,0,4,6,4.0
blog,2024. 1. 29.,"[해외호전사례] 미국 David 남성 53세 63kg 췌장암 4기, 간전이 - 감동, 단 6개월만에 좋은 소식 - 최신 조티펜스 복용법",펜벤다졸,해외호전사례|프로토콜|조티펜스,췌장암|간암,https://blog.naver.com/grsanga/223336978579,92,9.0,2,,0,0,,2,5,6,0.0
blog,2024. 1. 25.,"[해외호전사례] 대장암/결장암 : 미국 David, 미국 Peggy님 남편, 미국  Douglas, 미국 Brian의 암 극복 과정. 최신 조티펜스 프로토콜과 제품. 펜벤다졸.",펜벤다졸,해외호전사례|프로토콜|조티펜스,대장암,https://blog.naver.com/grsanga/223333668401,172,17.0,2,,0,0,,2,5,6,2.0
blog,2024. 1. 24.,H. biformis : 홀데마넬라(Holdemanella) 가 풍부해지는 식이 요법은?,,식이요법,,https://blog.naver.com/grsanga/223332504031,54,5.0,4,,0,0,,4,0,2,1.0
blog,2024. 1. 23.,항생제로 인한 장내 미생물 교란은 유방 종양 성장을 가속화합니다 :  Holdemanella biformis : 항종양 효과,,장내미생물,,https://blog.naver.com/grsanga/223331494421,92,9.0,2,,0,0,,2,-1,2,2.0
blog,2024. 1. 18.,건강하지 못한 장은 유방암을 확산시킵니다,,,유방암,https://blog.naver.com/grsanga/223326503344,50,5.0,0,,0,0,,0,0,2,1.0
blog,2024. 1. 15.,[해외호전사례] 영국 Kath 남편 전립선암 4기 (2022년 7월진단) - 완화치료 & androgen blockers - 대사치료법,,해외호전사례,전립선암,https://blog.naver.com/grsanga/223323184469,60,6.0,0,,0,0,,0,3,4,0.0
blog,2024. 1. 13.,"[해외호전사례] 캐나다 Christine의 남편(40세), 중급 신경 교종 뇌종양 - 60일만에 효과를 봄 - 고용량 펜벤다졸 복용법, 이버멕틴 포함",펜벤다졸|이버멕틴,해외호전사례|프로토콜|고용량펜벤다졸,뇌종양,https://blog.naver.com/grsanga/223321155900,97,9.0,7,,0,0,,7,5,7,0.0
blog,2024. 1. 12.,"장내 미생물총과 유방암: 미생물의 이중 역할, 프로바이오틱스, 프리바이오틱스, 신바이오틱스",,장내미생물,유방암,https://blog.naver.com/grsanga/223320514347,90,9.0,0,,0,0,,0,-1,2,2.0
blog,2023. 12. 27.,"이버멕틴과 인간 시토크롬 P450 효소 및 약물 전달체의 대사와 상호작용, 가능한 부작용 및 독성 효과",이버멕틴,,,https://blog.naver.com/grsanga/223304841257,100,10.0,0,,0,0,,0,0,2,2.0
blog,2023. 12. 22.,[Paul E. Marik] 암 치료 Cancer Care :12장: 화학 요법 기본과 용도 변경 약물의 중요성,,폴마릭,,https://blog.naver.com/grsanga/223300681702,50,5.0,0,,0,0,,0,0,2,1.0
blog,2023. 12. 21.,"[Paul E. Marik] 암 치료 Cancer Care : 하지 말것을 권장하는 약물 : 비타민B복합체, 콜히친, 상어연골, 아미그달린(라에트릴)",,폴마릭,,https://blog.naver.com/grsanga/223299570452,121,12.0,1,,0,0,,1,0,2,2.0
blog,2023. 12. 20.,"[Paul E. Marik] 암 치료 Cancer Care : 페노피브레이트, 파오 페레이라, 민들레 추출물(Dandelion Extract)",,폴마릭,,https://blog.naver.com/grsanga/223298640206,40,4.0,0,,0,0,,0,0,2,0.0
blog,2023. 12. 19.,"[Paul E. Marik] 암 치료 Cancer Care : 고용량 정맥주사 비타민C(IVC), 디클로아세테이트(DCA), 카나비노이드",비타민C|DCA|CBD,폴마릭,,https://blog.naver.com/grsanga/223297482915,80,8.0,0,,0,0,,0,0,2,1.0
blog,2023. 12. 13.,"[Paul E. Marik] 암 치료 Cancer Care : 니겔로 사티바(티모퀴논), 영지 버섯과 약용 버섯, 이버멕틴, 디피리다몰",이버멕틴,폴마릭,,https://blog.naver.com/grsanga/223291225121,60,6.0,0,,0,0,,0,0,2,1.0
blog,2023. 12. 6.,"[Paul E. Marik] 암 치료 Cancer Care : 아스피린, 디클로페낙",,폴마릭,,https://blog.naver.com/grsanga/223284868322,73,7.0,3,,0,0,,3,0,2,1.0
blog,2023. 12. 1.,"[Paul E. Marik] 암 치료 Cancer Care : 저용량 날트렉손, 독시사이클린, 스피로노락톤, 레스베라트롤, 밀싹, 캡토프릴",날트렉손|독시사이클린,폴마릭,,https://blog.naver.com/grsanga/223280136174,90,9.0,0,,0,0,,0,0,2,1.0
blog+cafe,2023. 11. 29.,암 환자에서 저용량 날트렉손(LDN) 사용에 관하여,날트렉손,,,https://blog.naver.com/grsanga/223278184385,114,11.0,4,https://cafe.naver.com/friendsofhippocrates/19207,24,385,저신뢰,28,0,5,2.0
blog,2023. 11. 29.,"[Paul E. Marik] 암 치료 Cancer Care : 디설피람, 시메티딘, 미슬토(겨우살이), 아쉬아간다, PDE5 억제제, 이트라코나졸",이트라코나졸|디설피람|시메티딘,폴마릭,,https://blog.naver.com/grsanga/223277798319,64,6.0,4,,0,0,,4,0,2,1.0
blog,2023. 11. 27.,"디설피람과 췌장암 치료 :  ALDH 억제, STING 신호 전달 경로 활성화",디설피람,,췌장암,https://blog.naver.com/grsanga/223275777485,50,5.0,0,,0,0,,0,0,2,1.0
blog,2023. 11. 24.,"디설피람(Disulfiram) 종합 정리 : 항암 기전, 큐프롭토시스(Cuproptosis), 근육 분해의 잠재적 억제제, 항아메바제, 항기생충제",디설피람,총정리,,https://blog.naver.com/grsanga/223273486039,81,8.0,1,,0,0,,1,1,3,1.0
blog,2023. 11. 14.,"[Paul E. Marik] 암 치료 Cancer Care : 메벤다졸/펜벤다졸/알벤다졸, 오메가-3, 베르베린, 스타틴",펜벤다졸|메벤다졸|알벤다졸|스타틴|베르베린|오메가3,폴마릭,,https://blog.naver.com/grsanga/223264603789,104,10.0,4,,0,0,,4,0,2,2.0
blog,2023. 11. 11.,오메가-3 의약품과 핵심 내용 요약,오메가3,,,https://blog.naver.com/grsanga/223261848223,112,11.0,2,,0,0,,2,0,2,2.0
blog,2023. 11. 10.,"[Paul E. Marik] 암 치료 Cancer Care : 메트포르민, 커큐민,",메트포르민|커큐민,폴마릭,,https://blog.naver.com/grsanga/223261006829,112,11.0,2,,0,0,,2,0,2,2.0
blog,2023. 11. 9.,톡소플라스마증의 치료에 대한 개요. 약물 개발 타임라인.,,,,https://blog.naver.com/grsanga/223260382807,60,6.0,0,,0,0,,0,0,2,1.0
blog,2023. 11. 9.,"톡소포자충증(Toxoplasmosis, Toxoplasma gondii 감염) 치료 약물 : 니타조사나이드, 이버멕틴, 생강 추출물",이버멕틴,,,https://blog.naver.com/grsanga/223260369601,80,8.0,0,,0,0,,0,0,2,1.0
blog,2023. 11. 3.,간 기능 검사? 혈액 검사 수치의 분석 : AST(=GOT) / ALT(=GPT) 비율의 의미 : De Ritis Ratio와 암과의 연관성,,,,https://blog.naver.com/grsanga/223254876341,151,15.0,1,,0,0,,1,0,2,3.0
blog,2023. 10. 30.,"[Paul E. Marik] 암 치료 Cancer Care : 멜라토닌, 그린 티",멜라토닌,폴마릭,,https://blog.naver.com/grsanga/223250404700,102,10.0,2,,0,0,,2,0,2,2.0
blog+cafe,2023. 10. 27.,[Paul E. Marik] 암 치료 Cancer Care : 비타민 D,비타민D,폴마릭,,https://blog.naver.com/grsanga/223248210855,70,7.0,0,https://cafe.naver.com/friendsofhippocrates/17809,10,238,고신뢰,10,0,4,1.0
blog+cafe,2023. 10. 25.,[Paul E. Marik] 암 치료 Cancer Care : 용도 변경된 약물 요약,,폴마릭,,https://blog.naver.com/grsanga/223246076151,101,10.0,1,https://cafe.naver.com/friendsofhippocrates/17821,5,171,고신뢰,6,0,3,2.0
blog+cafe,2023. 10. 18.,[Paul E. Marik] 암 치료 Cancer Care : 암이란 무엇인가?,,폴마릭,,https://blog.naver.com/grsanga/223240256525,80,8.0,0,https://cafe.naver.com/friendsofhippocrates/10601,11,370,고신뢰,11,0,4,1.0
blog,2023. 10. 17.,"[Paul E. Marik] 암 치료 : 저스터스 호프 박사의 머릿글 : 용도 변경 약물, 가능한 빨리 시작하라!",,폴마릭,,https://blog.naver.com/grsanga/223239194689,90,9.0,0,,0,0,,0,0,2,1.0
blog,2023. 10. 16.,[Paul E. Marik] 암 치료 Cancer Care : 책 소개와 목차,,폴마릭,,https://blog.naver.com/grsanga/223238243346,82,8.0,2,,0,0,,2,0,2,1.0
blog,2023. 10. 14.,"접지는 무엇? 접지와 EMF, 인체에는 어떤 이득이 있을까?",,,,https://blog.naver.com/grsanga/223236416188,111,11.0,1,,0,0,,1,0,2,2.0
blog,2023. 10. 10.,"접지, 어싱, 건강에 도움이 되나요? [개론]",,,,https://blog.naver.com/grsanga/223232847934,102,10.0,2,,0,0,,2,0,2,2.0
blog+cafe,2023. 9. 20.,톡소포자충증(Toxoplasmosis) : 톡소플라즈마 곤디(Toxoplasma gondii) 감염에 의한 질환. 치료는?,,,,https://blog.naver.com/grsanga/223216690042,122,12.0,2,https://cafe.naver.com/friendsofhippocrates/17681,10,113,고신뢰,12,0,4,2.0
